,0
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,1
534,1
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,0
548,1
549,1
550,1
551,0
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,1
597,1
598,0
599,1
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,1
631,0
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,0
709,1
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,0
751,0
752,1
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,1
804,0
805,0
806,1
807,0
808,1
809,0
810,1
811,0
812,1
